pseudocode,state,district,block,school loc,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
5283969,TAMIL NADU,KRISHNAGIRI,HOSUR,1,,,Onalvadi,Onnalvadi,HOSUR,3,3,1,12,5,635109,2,2,3,0,2,19,0,0,0,1,1,1,1,2,190,1,47,35,11,16,0,0
8859992,TAMIL NADU,KRISHNAGIRI,KRISHNAGIRI,1,,,Gangaleri,Gangaleri,KRISHNAGIRI,1,3,1,5,1,635122,2,2,3,0,2,16,0,0,0,2,2,1,2,2,189,1,0,0,3,2,0,0
6617510,TAMIL NADU,KRISHNAGIRI,UTHANGARAI,1,,,Egoor,Eggoor,UTHANGARAI,1,3,1,5,1,635307,2,2,3,0,2,16,0,0,0,2,2,1,2,1,210,1,0,0,0,0,1,1
7213915,TAMIL NADU,KRISHNAGIRI,UTHANGARAI,1,,,Pudur,Pudur Pungani,Uthangarai,1,3,1,5,1,635207,2,2,3,0,2,16,0,0,0,2,2,1,2,2,210,1,0,0,0,1,0,0
2958858,TAMIL NADU,KRISHNAGIRI,MATHUR,1,,,Sulakarai,Soolagarai,MATHUR,1,3,1,5,1,635304,2,2,3,0,2,16,0,0,0,2,2,1,2,2,210,1,1,0,0,0,0,0
5812629,TAMIL NADU,KRISHNAGIRI,THALLY,1,,,Marudanapalli,Marudhanapalli,THALLY,1,3,1,5,1,635107,2,2,3,0,2,19,0,0,0,2,2,1,2,2,206,1,0,0,0,0,0,0
1845580,TAMIL NADU,KRISHNAGIRI,THALLY,1,,,Kuppatti,Kuppati,THALLY,1,3,1,5,1,635114,2,2,3,0,2,19,0,0,0,2,2,1,2,2,208,1,0,0,0,0,0,0
6015808,TAMIL NADU,KRISHNAGIRI,KRISHNAGIRI,1,,,Velakalahalli,Velagalahalli,KRISHNAGIRI,1,3,1,5,1,635122,2,2,3,0,2,16,0,0,0,2,2,1,2,2,210,1,0,0,3,0,0,0
5171509,TAMIL NADU,KRISHNAGIRI,UTHANGARAI,2,Uthangarai,Uthangarai (TP) - Ward No.13,,,,1,3,1,5,1,635207,2,2,3,0,2,16,0,0,0,2,2,1,2,2,210,1,0,0,0,0,0,0
9919565,TAMIL NADU,KRISHNAGIRI,SHOOLAGIRI,1,,,Sanamavu,Sanamavoo,SHOOLAGIRI,1,3,1,5,1,635119,2,2,3,0,2,19,0,0,0,2,2,1,2,2,204,1,0,0,0,1,1,3
4942931,TAMIL NADU,KRISHNAGIRI,KAVERIPATINAM,1,,,Bendarahalli,Arasampatti,KAVERIPATTINAM,3,3,1,12,5,635201,2,2,3,0,2,19,0,0,0,2,2,1,1,2,223,1,51,51,6,3,0,0
5833124,TAMIL NADU,KRISHNAGIRI,VEPPANAPALLI,1,,,Balanapalli,Balanapalli,VEPPANAPALLI,1,3,1,5,1,635121,2,2,3,0,2,16,0,0,0,2,2,1,2,2,204,1,0,0,0,0,3,1
