pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
2666911,3,6,2,1,13,7,4,3,0,1,4,4,6,6,1,1,1,1,10,5,1,1,2,2,1,2,2,2,2,2,1,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,4,0,10,0,0,1,0,1,2,1,2,2
3145548,3,17,7,1,20,1,19,0,5,1,6,6,8,8,1,1,1,1,16,18,1,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2,13,23,0,0,0,0,2,3,1,1,2
8406439,1,3,3,1,20,2,20,0,0,1,6,6,25,23,2,1,14,11,6,69,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,0,1,0,0,0,0,1,0,1,2,2
2228971,3,1,1,1,6,6,5,0,0,1,2,2,2,2,0,0,0,0,10,10,1,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,10,0,10,1,0,1,1,1,2,2
7402325,3,4,2,2,6,0,5,0,0,2,0,0,6,6,0,0,1,1,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,2,2,1,1,2,3,0,0,0,0,0,0,0,0,0,2,9,2,4,5,0,1,0,1,1,1,1,2,2
4578777,3,7,2,1,5,0,2,1,0,2,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,3,1,0,1,0,1,0,0,1,2,2
2231383,3,6,2,1,5,0,3,0,0,2,0,0,1,1,0,0,1,1,0,1,1,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,2,1,0,0,0,1,0,0,1,2,2
8412161,3,2,1,1,5,0,0,2,0,2,1,1,1,1,1,1,1,1,3,3,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,2,0,0,0,0,1,0,0,1,2,2
8724239,1,2,2,1,16,2,15,0,0,1,9,9,9,9,0,0,0,0,30,30,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,1,0,4,0,0,0,1,2,1,1,2,2
3403542,3,3,1,1,5,0,2,0,0,2,1,1,1,1,0,0,0,0,0,6,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,1,0,1,0,0,0,1,0,1,1,2,2
3161746,3,6,2,7,5,0,3,1,0,2,1,1,1,1,0,0,0,0,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,2,1,0,0,0,1,1,1,1,2,2
8838406,3,7,7,7,6,1,6,0,0,1,1,1,3,3,0,0,0,0,6,6,1,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,4,3,10,0,0,0,0,1,2,1,2,2
1446280,1,2,2,1,14,9,9,0,0,1,3,3,2,2,2,2,2,2,3,6,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,10,0,0,0,0,1,0,1,2,2
1758805,1,3,3,1,100,15,97,0,0,1,64,58,46,42,26,19,20,16,96,92,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,4,4,4,4,4,1,1,9,2,0,32,0,15,3,1,2,0,1,1,2
